1001.842, 0.759
1003.153, 0.343
1004.272, 1.052
1004.969, -0.537
1006.138, 0.910
1006.855, -0.376
1008.291, 1.071
1008.971, -0.773
1010.129, 0.522
1011.191, 0.381
1012.033, 0.948
1013.029, -0.177
1014.194, 1.222
1015.101, -1.236
1017.913, 0.749
1018.942, 0.125
1020.352, 1.184
1021.276, -1.019
1022.996, 0.664
1023.776, 0.305
1024.896, 1.043
1025.865, -0.499
1026.766, 0.957
1028.009, -0.480
1029.177, 0.967
1029.883, -0.489
1030.783, 0.948
1032.027, -0.480
1033.195, 0.967
1034.169, -0.489
1034.801, 0.948
1036.046, -0.452
1036.680, 1.005
1037.911, -0.603
1038.809, 0.806
1040.086, -0.130
1041.246, 1.194
1041.625, -1.151
1044.137, 0.371
1044.691, 0.645
1046.288, 0.494
1046.846, 0.816
1047.871, 0.125
1049.014, 1.203
1049.933, -1.085
1051.649, 0.541
1052.716, 0.475
1054.080, 0.844
1054.836, 0.135
1055.980, 1.222
1056.628, -1.095
1058.881, 0.551
1059.947, 0.466
1060.777, 0.863
1061.792, 0.021
1063.213, 1.232
1063.851, -1.236
1065.816, 0.106
1066.928, 0.712
1068.233, 0.201
1068.831, 1.137
1069.769, -0.868
1070.919, 0.314
1072.008, 0.579
1073.080, 0.579
1073.890, 0.683
1074.682, 0.513
1076.312, 0.844
1076.799, 0.116
1078.211, 1.213
1078.859, -1.113
1081.110, 0.504
1082.185, 0.551
1082.731, 0.712
1084.051, 0.418
1085.159, 0.967
1086.152, -0.215
1086.783, 1.213
1087.694, -1.180
1090.770, 0.759
1091.805, 0.210
1093.206, 1.137
1094.144, -0.868
1095.849, 0.598
1096.918, 0.560
1098.268, 0.721
1099.049, 0.390
1099.892, 0.976
1100.612, -0.272
1102.048, 1.165
1102.701, -1.076
1104.686, 0.570
1106.285, 0.437
1107.118, 0.891
1107.594, -0.007
1108.748, 1.232
1109.919, -1.284
1111.305, -0.584
1112.716, 0.475
1114.059, 0.541
1114.876, 0.730
1116.191, 0.381
1117.035, 0.976
1117.483, -0.329
1119.190, 1.156
1120.117, -1.000
1121.569, 0.683
1123.150, 0.296
1123.738, 1.071
1124.969, -0.546
1125.600, 0.882
1127.128, -0.300
1128.026, 1.109
1128.962, -0.905
1130.407, 0.664
1131.996, 0.390
1132.971, 0.957
1133.831, -0.206
1134.998, 1.222
1135.908, -1.180
1138.717, 0.759
1139.750, 0.191
1141.155, 1.175
1142.087, -0.905
1143.531, 0.655
1144.857, 0.456
1145.958, 0.891
1146.969, -0.007
1148.393, 1.260
1148.760, -1.265
1151.241, -0.215
1151.556, 0.494
1152.896, 0.504
1153.448, 0.740
1154.760, 0.333
1155.611, 1.052
1156.847, -0.489
1157.747, 0.948
1158.994, -0.433
1159.625, 0.995
1160.592, -0.574
1161.757, 0.825
1163.033, -0.121
1163.658, 1.213
1164.573, -1.123
1167.087, 0.418
1167.904, 0.626
1168.702, 0.541
1169.520, 0.759
1170.561, 0.296
1171.954, 1.099
1172.373, -0.641
1173.537, 0.740
1174.825, -0.026
1175.979, 1.203
1176.359, -1.113
1178.607, 0.447
1179.957, 0.608
1181.564, 0.608
1182.637, 0.636
1183.705, 0.579
1184.784, 0.702
1185.304, 0.456
1186.672, 0.891
1187.413, -0.040
1188.570, 1.241
1189.472, -1.293
1191.663, -0.574
1193.890, 0.674
1194.408, 0.418
1196.052, 0.967
1196.780, -0.168
1198.211, 1.213
1198.370, -0.414
1198.583, -1.236
